-ί|n15907
αὐτόπρεμνος|n5653
αὐτόπτης|n5655
αὐτόρριζος|n5658
αὐτόρρυτος|n5659
αὐτός|n5662
αὐτόσε|n5660
αὐτόσσυτος|n5663
αὐτόστολος|n5665
αὐτόστονος|n5666
αὐτότοκος|n5675
αὐτόφι|n5683
αὐτόφλοιος|n5684
αὐτόφορτος|n5687
αὐτόφυτος|n5689
αὐτόφωνος|n5690
αὐτόφωρος|n5691
αὐτόχειρ|n5693
αὐτόχθονος|n5694
αὐτόχθων|n5695
αὐτόχρημα|n5698
αὐτῆμαρ|n5580
αὐχένιος|n5702
αὐχέω|n5703
αὐχήεις|n5704
αὐχήν|n5706
αὐχενίζω|n5701
αὐχμέω|n5708
αὐχμηρός|n5709
αὐχμός|n5710
αὐχμώδης|n5711
αὔλειος|n5528
αὔλημα|n5530
αὔλησις|n5532
αὔλιον|n5539
αὔλιος|n5540
αὔξη|n5552
αὔξησις|n5554
αὔξιμος|n5555
αὔρα|n5561
αὔριον|n5562
αὔτανδρος|n5569
αὔτως|n5700
αὔχημα|n5705
αὔχησις|n5707
αὔω1|@
αὔω2|@
αὔω|@
αὖ1|@
αὖ2|@
αὖ|@
αὖθι|n5523
αὖθις|n5524
αὖλαξ|n5527
αὖλις|n5542
αὖος|n5558
αὖτε|n5575
βάγμα|n5986
βάδην|n5987
βάδισις|n5989
βάδισμα|n5990
βάδος|n5995
βάζω|n5996
βάθος|n6000
βάθρον|n6001
βάιον|n6041
βάις|n6043
βάκλον|n6048
βάκτρευμα|n6051
βάκτρον|n6053
βάκυλον|n6055
βάκχειος|n6060
βάκχευμα|n6061
βάκχευσις|n6063
βάκχη|n6069
βάκχος|n6074
βάλανος|n6084
βάλιος|n6087
βάλλω|n6094
βάμμα|n6096
βάναυσος|n6099
βάξις|n6101
βάπτισμα|n6103
βάπτω|n6107
βάραθρον|n6109
βάρβαρος|n6114
βάρβιτος|n6116
βάρδιστος|n6117
βάρος|n6120
βάσανος|n6174
βάσιμος|n6186
βάσις|n6187
βάσκανος|n6190
βάσκω|n6192
βάσταγμα|n6196
βάταλος|n6199
βάτος1|@
βάτος3|@
βάτος|@
βάτραχος|n6211
βάττος|n6214
βέβαιος|n6232
βέβηλος|n6236
βέλεμνον|n6243
βέλος|n6247
βέλτερος|n6249
βέλτιστος|n6250
βέμβιξ|n6254
βένθος|n6259
βέομαι|n6260
βήξ|n6264
βήσσω|n6268
βία|n6274
βίαιος|n6273
βίβημι|n6282
βίβλινος|n6284
βίβλος|n6287
βίος|n6298
βίοτος|n6304
βίωσις|n6308
βαίνω|n6040
βαίτη|n6044
βαβαί|n5984
βαβύκα|n5985
βαδίζω|n5988
βαδισμός|n5991
βαδιστέος|n5992
βαδιστής|n5993
βαδιστικός|n5994
βαθέως|n5997
βαθμίς|n5998
βαθμός|n5999
βαθυαγκής|n6002
βαθυδίνης1|n6006
βαθυδίνης|n6006
βαθυκήτης|n6010
βαθυκαμπής|n6009
βαθυκλεής|n6011
βαθυκτέανος|n6014
βαθυλήιος|n6016
βαθυπόλεμος|n6022
βαθυρρείτης|n6023
βαθυσκαφής|n6027
βαθυχαίτης|n6038
βαθύβουλος|n6003
βαθύγαιος|n6004
βαθύγηρως|n6005
βαθύζωνος|n6007
βαθύθριξ|n6008
βαθύκολπος|n6012
βαθύκρημνος|n6013
βαθύλειμος|n6015
βαθύνοος|n6017
βαθύνω|n6018
βαθύξυλος|n6019
βαθύπελμος|n6020
βαθύπλουτος|n6021
βαθύρρηνος|n6024
βαθύρριζος|n6025
βαθύρροος|n6026
βαθύς|n6029
βαθύσκιος|n6028
βαθύσπορος|n6030
βαθύστερνος|n6031
βαθύστολμος|n6032
βαθύστρωτος|n6033
βαθύσχοινος|n6034
βαθύτης|n6035
βαθύφρων|n6036
βαθύφυλλος|n6037
βαθύχθων|n6039
βαιός|n6042
βακέλας|n6045
βακίζω|n6046
βακίς|n6047
βακτήριον|n6050
βακτηρία|n6049
βακτρεύω|n6052
βακτροπροσαίτης|n6054
βακχάω|n6056
βακχέβακχον|n6057
βακχίς|n6072
βακχεία|n6058
βακχευτής|n6065
βακχευτικός|n6066
βακχεύς|n6064
βακχεύσιμος|n6062
βακχεύτωρ|n6067
βακχεύω|n6068
βακχεῖον|n6059
βακχιάζω|n6070
βακχιάς|n6071
βακχιώτης|n6073
βαλάνισσα|n6082
βαλανάγρα|n6075
βαλανίζω|n6081
βαλανεύς|n6077
βαλανεύω|n6078
βαλανεῖον|n6076
βαλανηφάγος|n6079
βαλανηφόρος|n6080
βαλανοδόκη|n6083
βαλανόω|n6085
βαλβίς|n6086
βαλιός|n6088
βαλλάντιον|n6089
βαλλήν|n6093
βαλλαντιοτομέω|n6090
βαλλαντιοτόμος|n6091
βαλληνάδε|n6092
βαμβαίνω|n6095
βαναυσία|n6097
βαναυσικός|n6098
βαναυσουργία|n6100
βαπτίζω|n6102
βαπτισμός|n6104
βαπτιστής|n6105
βαπτός|n6106
βαρέω|n6118
βαρβαρίζω|n6110
βαρβαρικός|n6111
βαρβαρισμός|n6112
βαρβαρόομαι|n6113
βαρβαρόφωνος|n6115
βαρυάλγητος|n6122
βαρυαλγής|n6121
βαρυαχής|n6123
βαρυβρεμέτης|n6124
βαρυβρώς|n6126
βαρυδαίμων|n6130
βαρυδαιμονέω|n6129
βαρυδότειρα|n6133
βαρυηχής|n6136
βαρυθυμέω|n6138
βαρυθυμία|n6139
βαρυπάλαμος|n6149
βαρυπένθητος|n6151
βαρυπενθής|n6150
βαρυπεσής|n6152
βαρυσίδηρος|n6155
βαρυσφάραγος|n6159
βαρυφροσύνη|n6165
βαρυόργητος|n6148
βαρύβρομος|n6125
βαρύγουνος|n6127
βαρύγυιος|n6128
βαρύδακρυς|n6131
βαρύδικος|n6132
βαρύδουπος|n6134
βαρύζηλος|n6135
βαρύθροος|n6137
βαρύθυμος|n6140
βαρύθω|n6141
βαρύκοτος|n6142
βαρύκτυπος|n6143
βαρύμηνις|n6144
βαρύμισθος|n6145
βαρύμοχθος|n6146
βαρύνω|n6147
βαρύποτμος|n6153
βαρύπους|n6154
βαρύς|n6156
βαρύσταθμος|n6157
βαρύστονος|n6158
βαρύτης|n6160
βαρύτιμος|n6161
βαρύτλητος|n6162
βαρύτονος|n6163
βαρύφθογγος|n6164
βαρύφρων|n6166
βαρύχειλος|n6167
βαρύχορδος|n6168
βαρύψυχος|n6169
βασίλεια|n6175
βασίλειον|n6178
βασίλειος|n6179
βασανίζω|n6170
βασανίστρια|n6173
βασανιστέος|n6171
βασανιστής|n6172
βασιλίζω|n6183
βασιλίς|n6185
βασιλεία|n6176
βασιλείδιον|n6177
βασιλεύς|n6180
βασιλεύω|n6181
βασιληίς|n6182
βασιλικός|n6184
βασκάς|n6191
βασκαίνω|n6188
βασκανία|n6189
βασσάρα|n6193
βασσάριον|n6195
βασσαρικός|n6194
βαστάζω|n6197
βαστακτός|n6198
βατέω|n6200
βατίς|n6203
βατηρίς|n6201
βατιδοσκόπος|n6202
βατοδρόπος|n6204
βατράχειος|n6208
βατραχίς|n6209
βατραχομυομαχία|n6210
βατταρίζω|n6212
βαττολογέω|n6213
βατός|n6207
βαυκοπανοῦργος|n6217
βαυκός|n6218
βαφή|n6219
βαφικός|n6220
βαύζω|n6215
βαύκαλις|n6216
βδάλλω|n6221
βδέλλα|n6222
βδέλυγμα|n6223
βδέω|n6230
βδελυγμία|n6224
βδελυκτός|n6225
βδελυρία|n6227
βδελυρεύομαι|n6226
βδελυρός|n6228
βδελύσσομαι|n6229
βδύλλω|n6231
βεβαίωσις|n6235
βεβαιότης|n6233
βεβαιόω|n6234
βεβηλόω|n6237
βεβουλευμένως|n6239
βεβόλημαι|n6238
βεκκεσέληνος|n6240
βεκός|n6241
βελεηφόρος|n6242
βελεσσιχαρής|n6244
βελονοπώλης|n6246
βελοσφενδόνη|n6248
βελτίων|n6251
βελόνη|n6245
βεμβικίζω|n6253
βεμβικιάω|n6252
βεμβράς|n6255
βενδίδεια|n6256
βενδίδειον|n6257
βενδῖς|n6258
βερέσχεθος|n6261
βηλός|n6262
βησσήεις|n6267
βητάρμων|n6270
βιάζω|n6271
βιάω|n6278
βιαιομάχας|n6272
βιαρκής|n6275
βιαστέος|n6276
βιαστής|n6277
βιβάζω|n6279
βιβάσθω|n6280
βιβάω|n6281
βιβλάριον|n6283
βιβλίον|n6286
βιβλιοκάπηλος|n6285
βιβρώσκω|n6288
βιημάχος|n6289
βινέω|n6291
βιοδότης|n6292
βιοδώτης|n6294
βιοθάλμιος|n6295
βιοθρέμμων|n6296
βιοστερής|n6299
βιοτή|n6302
βιοτεία|n6300
βιοτεύω|n6301
βιοφειδής|n6305
βιωτέος|n6310
βιωτικός|n6311
βιωτός|n6312
βιόδωρος|n6293
βιός|n6297
βιότιον|n6303
βιόω|n6306
βιώσιμος|n6307
βιώσκομαι|n6309
βλάβη|n6314
βλάβος|n6315
βλάξ|n6322
βλάπτω|n6323
βλάστη|n6328
βλάστημα|n6326
βλάσφημος|n6332
βλάψις|n6335
βλέμμα|n6338
βλέπος|n6339
βλέπω|n6343
βλέφαρον|n6345
βλέψις|n6346
βλήχων|n6355
βλίττω|n6358
βλαίσωσις|n6317
βλαβερός|n6313
βλαισός|n6316
βλακεία|n6318
βλακεύω|n6319
βλακικός|n6320
βλακώδης|n6321
βλαστάνω|n6324
βλαστέω|n6325
βλαστημός|n6327
βλαστός|n6329
βλασφημέω|n6330
βλασφημία|n6331
βλαυτίον|n6334
βλαψίφρων|n6336
βλαύτη|n6333
βλεμεαίνω|n6337
βλεπτέος|n6340
βλεπτικός|n6341
βλεπτός|n6342
βλεφαρίς|n6344
βλητέος|n6348
βληχάομαι|n6350
βληχή|n6351
βληχρός|n6352
βληχωνίας|n6354
βληχώδης|n6353
βλιστηρίς|n6356
βλιτομάμμας|n6357
βλοσυρός|n6359
βλοσυρῶπις|n6360
βλωθρός|n6363
βλύζω|n6361
βλύσις|n6362
βλώσκω|n6364
βλῆμα|n6347
βλῆτρον|n6349
βοάγριον|n6365
βοάω|n6369
βοή|n6388
βοήθεια|n6379
βοίδιον|n6394
βοείη|n6370
βοεικός|n6371
βοεύς|n6373
βοηγενής|n6374
βοηδρομέω|n6375
βοηδρομιών|n6377
βοηδρόμια|n6376
βοηδρόμος|n6378
βοηθέω|n6380
βοηθητέος|n6381
βοηθόος|n6382
βοηθός|n6383
βοηλάτης|n6385
βοηλασία|n6384
βοηλατικός|n6386
βοηνόμος|n6387
βοητής|n6389
βοητύς|n6390
βοιδάριον|n6393
βοιωτάρχης|n6397
βοιωτία|n6400
βοιωτίδιον|n6401
βοιωταρχέω|n6396
βοιωταρχία|n6398
βοιωτιάζω|n6399
βοιωτιουργής|n6403
βοιωτός|n6404
βοιώτιος|n6402
βολή|n6408
βολίζω|n6409
βολίς|n6410
βολίτινος|n6411
βολαῖος|n6405
βολβός|n6407
βολοκτυπίη|n6413
βομβέω|n6416
βομβήεις|n6417
βομβαύλιος|n6415
βομβητής|n6418
βομβυλιός|n6420
βοοσφαγία|n6421
βορά|n6422
βορέας|n6428
βορβοροκοίτης|n6424
βορβοροτάραξις|n6426
βορβορόθυμος|n6423
βορβορώδης|n6427
βορηιάς|n6430
βορραῖος|n6432
βορυσθένης|n6435
βορυσθενείτης|n6434
βορός1|n6431
βορός|n6431
βοσκή|n6438
βοσκητέος|n6439
βοσκός|n6440
βοστρυχηδόν|n6443
βοτάμια|n6445
βοτάνη|n6446
βοτήρ|n6448
βοτηρικός|n6447
βοτρυδόν|n6450
βοτρυοχαίτης|n6455
βοτρυχώδης|n6457
βοτρυόδωρος|n6452
βοτρυόεις|n6453
βοτρυόπαις|n6454
βοτρυώδης|n6458
βοτρύιος|n6451
βοτόν|n6449
βου-|n6527
βουβωνιάω|n6462
βουβών|n6463
βουγάιος|n6464
βουδόρος|n6465
βουθερής|n6466
βουθοίνης|n6467
βουθυσία|n6468
βουθυτέω|n6469
βουκέφαλος|n6474
βουκαῖος|n6471
βουκεφάλας|n6473
βουκολέω|n6475
βουκολία|n6478
βουκολιάζομαι|n6477
βουκολιαστής|n6479
βουκολικός|n6480
βουκόλημα|n6476
βουκόλιον|n6481
βουκόλος|n6482
βουλή|n6498
βουλήεις|n6497
βουλαρχέω|n6486
βουλαῖος|n6485
βουλευτέος|n6490
βουλευτήριον|n6491
βουλευτήριος|n6492
βουλευτής|n6493
βουλευτικός|n6494
βουλευτός|n6495
βουλεύω|n6496
βουλητός|n6500
βουληφόρος|n6501
βουλιμία|n6502
βουλιμιάω|n6503
βουλυτόνδε|n6507
βουλυτός|n6508
βουλόμαχος|n6506
βουμολγός|n6509
βουνίτης|n6510
βουνοβατέω|n6511
βουνοειδής|n6512
βουνόμος|n6514
βουνός|n6515
βουπάλειος|n6517
βουπάμων|n6519
βουπλάστης|n6520
βουπλήξ|n6522
βουποίητος|n6523
βουποίμην|n6524
βουπόρος|n6525
βουστρόφος|n6530
βουσφαγέω|n6531
βουφάγος|n6534
βουφονέω|n6535
βουφορβέω|n6538
βουφορβός|n6540
βουφόνια|n6536
βουφόνος|n6537
βουφόρβια|n6539
βουχανδής|n6542
βοωτέω|n6545
βούβαλις|n6459
βούβοτος|n6460
βούβρωστις|n6461
βούθυτος|n6470
βούκερως|n6472
βούκρανος|n6484
βούλαρχος|n6487
βούλευμα|n6488
βούλευσις|n6489
βούλησις|n6499
βούλιος|n6504
βούλομαι|n6505
βούνομος|n6513
βούπαις|n6516
βούπαλις|n6518
βούπληκτρος|n6521
βούπρῳρος|n6526
βούσταθμον|n6529
βούτης|n6532
βούτομον|n6533
βούφορτος|n6541
βοώνης|n6543
βοώτης|n6546
βοῖ|n6395
βοῦκος|n6483
βοῦς|n6528
βοῶπις|n6544
βράβυλον|n6551
βράβυλος|n6552
βράγχος|n6554
βράδος|n6555
βράκος|n6563
βράσσω|n6564
βράχεα|n6565
βρέγμα|n6584
βρέμω|n6586
βρέξις|n6587
βρέτας|n6588
βρέφος|n6589
βρέχω|n6591
βρίζω|n6595
βρίθω|n6601
βρίμη|n6603
βραβεία|n6547
βραβεύς|n6549
βραβεύω|n6550
βραβεῖον|n6548
βραγχός|n6553
βραδυπειθής|n6557
βραδυπλοέω|n6558
βραδυσκελής|n6560
βραδυτής|n6562
βραδύνω|n6556
βραδύπους|n6559
βραδύς|n6561
βραχίων1|n6568
βραχίων|n6568
βραχεῖν|n6566
βραχιονιστήρ|n6567
βραχυγνώμων|n6571
βραχυλογία|n6574
βραχυλόγος|n6575
βραχυσύμβολος|n6579
βραχυτράχηλος|n6582
βραχύβιος|n6569
βραχύβωλος|n6570
βραχύδρομος|n6572
βραχύκωλος|n6573
βραχύνω|n6576
βραχύπορος|n6577
βραχύς|n6578
βραχύτης|n6580
βραχύτονος|n6581
βραχύφυλλος|n6583
βρεκεκεκέξ|n6585
βρεχμός|n6590
βριάρεως|n6592
βριάω|n6594
βριήπυος|n6596
βριαρός|n6593
βριθοσύνη|n6598
βριθύνοος|n6599
βριθύς|n6600
βριμάομαι|n6602
βρισάρματος|n6604
βρομέω|n6606
βρομιάζομαι|n6607
βρομιώδης|n6610
βροντάω|n6612
βροντή|n6614
βροντησικέραυνος|n6615
βροτοβάμων|n6618
βροτοκτονέω|n6621
βροτοκτόνος|n6622
βροτολοιγός|n6623
βροτοσκόπος|n6625
βροτοστυγής|n6628
βροτοφεγγής|n6629
βροτοφθόρος|n6630
βροτόγηρυς|n6619
βροτόεις|n6620
βροτόομαι|n6624
βροτός|n6627
βροχή|n6632
βροχίς|n6634
βροχετός|n6631
βρυχάομαι|n6641
βρυχηδόν|n6642
βρυχητής|n6644
βρωμάομαι|n6647
βρωματομιξαπάτη|n6649
βρωτήρ|n6653
βρωτός|n6654
βρόγκος|n6605
βρόμιος|@
βρόμος1|n6611
βρόμος|n6611
βρόντημα|n6613
βρόντης|n6616
βρότειος|n6617
βρότος|n6626
βρόχθος|n6633
βρόχος|n6635
βρόχω|n6636
βρύκω|n6637
βρύλλω|n6638
βρύον|n6640
βρύχημα|n6643
βρύχιος|n6645
βρύω|n6646
βρώμη|n6650
βρώσιμος|n6651
βρῖθος|n6597
βρῦν|n6639
βρῶμα|n6648
βρῶσις|n6652
βυβλάριον|n6655
βυθίζω|n6659
βυθός|n6662
βυθῖτις|n6661
βυνέω|n6664
βυρσίνη|n6668
βυρσαίετος|n6665
βυρσεύς|n6667
βυρσοδέψης|n6670
βυρσοδεψέω|n6669
βυρσοπαγής|n6671
βυρσοπαφλαγών|n6672
βυρσοπώλης|n6673
βυρσοτενής|n6674
βυσσοδομεύω|n6676
βυσσομέτρης|n6678
βυσσόθεν|n6677
βυσσός|n6679
βυσσόφρων|n6681
βωλίον|n6685
βωλοτόμος|n6687
βωμίς|n6689
βωμοειδής|n6690
βωμολοχία|n6693
βωμολοχεύομαι|n6692
βωμολοχικός|n6694
βωμολόχευμα|n6691
βωμολόχος|n6695
βωμός|n6696
βωστρέω|n6697
βωτιάνειρα|n6698
βόαγρος|n6366
βόαμα|n6367
βόαυλος|n6368
βόειος|n6372
βόθρος|n6391
βόθυνος|n6392
βόλβα|n6406
βόλιτον|n6412
βόλος|n6414
βόμβος|n6419
βόρβορος|n6425
βόρειος|n6429
βόρυες|n6433
βόσις|n6436
βόσκημα|n6437
βόσκω|n6441
βόσπορος|n6442
βόστρυχος|n6444
βότρυς|n6456
βύβλινος|n6656
βύβλος|n6657
βύζην|n6658
βύθιος|n6660
βύκτης|n6663
βύρσα|n6666
βύσσινος|n6675
βύσσος|n6680
βύσσωμα|n6682
βύω|n6683
βώμιος|n6688
βώτωρ|n6699
βᾶ|n6108
βᾶρις|n6119
βῆ|n6265
βῆμα1|n6263
βῆμα|n6263
βῆσσα|n6266
βῆτα|n6269
βῖκος|n6290
βῶλαξ|n6684
βῶλος|n6686
γάγγαμον|n6700
γάδειρα|n6703
γάζα|n6704
γάιος|n6710
γάλα|n6717
γάλοως|n6725
γάμμα|n6736
γάμος|n6738
γάνος1|n6744
γάνος|n6744
γάνυμαι|n6746
γάποτος|n6747
γάρ|n6750
γάργαρα|n6749
