-ί|iota demonstrativum
αἰνός|dread, dire, grim
αἰολίζω|to speak Aeolian
αἰολεύς|an Aeolian
αἰολικός|of or like the Aeolians
αἰολοβρόντης|wielder of lightning
αἰολοθώρηξ|with glancing breastplate
αἰολομίτρης|with glancing or glittering girdle
αἰολόμητις|full of various wiles
αἰολόπωλος|with quick-moving steeds
αἰολόστομος|shifting in speech
αἰπήεις|= αἰπεινός, Il.
αἰπεινός|high, lofty
αἰπολέω|to tend goats
αἰπολικός|of or for goatherds
αἰπυμήτης|with high thoughts
αἰπόλιον|a herd of goats
αἰπόλος|a goatherd
αἰπός|high, lofty
αἰπύνωτος|high-backed, on a high mountain-ridge
αἰπύς|high and steep, lofty
αἰσθάνομαι|to perceive, apprehend by the senses, to see, hear, feel
αἰσθητήριον|an organ of sense
αἰσθητικός|of or for perception by the senses, perceptive
αἰσθητός|perceptible by the senses
αἰσιμία|happiness
αἰσυμνάω|to rule over
αἰσυμνήτης|a regulator
αἰσυμνητήρ|a prince
αἰσυμνητεία|an elective monarchy
αἰσχρήμων|shameful
αἰσχροκέρδεια|base covetousness
αἰσχροκερδής|sordidly greedy of gain
αἰσχρολογέω|λέγω, ῀ αἰσχροεπέω, Plat.
αἰσχρολογία|foul language, abuse
αἰσχροποιός|doing foully
αἰσχροπραγέω|πράσσω, ῀ αἰσχρουργέω, Arist.
αἰσχρουργία|shameless conduct
αἰσχρόμητις|forming base designs
αἰσχρός|causing shame, abusive
αἰσχρότης|ugliness, deformity
αἰσχυντέος|one must be ashamed
αἰσχυντήρ|a dishonourer
αἰσχυντηλός|bashful, modest
αἰσχυντηρός|= αἰσχυντηλός, Plat.
αἰσχυντικός|shameful
αἰσχύνη|shame done one, disgrace, dishonour
αἰσχύνω|to make ugly, disfigure, mar
αἰτέω|to ask, beg
αἰτία|a charge, accusation
αἰτίαμα|a charge, guilt imputed
αἰτίζω|to ask, beg
αἰτητέον|one must ask
αἰτητικός|fond of asking
αἰτητός|asked for
αἰτιάζομαι|to be accused
αἰτιάομαι|to charge, accuse, censure, blame
αἰτιατέον|one must accuse
αἰτιολογικός|inquiring into causes
αἰτναῖος|of or belonging to Etna
αἰφνίδιος|unforeseen, sudden
αἰχμάζω|to throw the spear
αἰχμάλωτος|taken by the spear, captive to one's spear, taken prisoner
αἰχμή|the point of a spear
αἰχμήεις|armed with the spear
αἰχμαλωσία|captivity: a body of captives
αἰχμαλωτίς|from αἰχμάλωτος
αἰχμαλωτεύω|to take prisoner
αἰχμαλωτικός|of or for a prisoner
αἰχμητής|a spearman
αἰχμοφόρος|one who trails a pike, a spearman
αἰψηροκέλευθος|swift-speeding
αἰψηρός|quick, speedy, in haste
αἰωρέω|to lift up, raise
αἰωρητός|a hovering
αἰόλλω|to shift rapidly to and fro
αἰόλος|quick-moving
αἰών|a period of existence
αἰώνιος|lasting for an age
αἰώρα|a machine for suspending
αἰώρημα|that which is hung up: a hanging cord, a halter
αἱμάς|a gush or stream of blood
αἱμάσσω|to make bloody stain with blood
αἱμακτός|mingled with blood, of blood
αἱμαλέος|bloody, blood-red
αἱμασιά|a wall
αἱματεκχυσία|shedding of blood
αἱματηρός|bloody, bloodstained, murderous
αἱματηφόρος|bringing blood, bloody
αἱματολοιχός|licking blood
αἱματοπώτης|a blood-drinker
αἱματορρόφος|blood-drinking
αἱματοσταγής|blood-dripping
αἱματοχάρμης|delighting in blood
αἱματωπός|bloody to behold
αἱματόεις|blood-red or of blood
αἱματόρρυτος|blood-streaming
αἱματόφυρτος|blood-stained
αἱματόω|to make bloody, stain with blood
αἱματώδης|blood-red
αἱματώψ|= αἱματωπός, Eur.
αἱμοβαφής|bathed in blood
αἱμοβόρος|blood-sucking, greedy of blood
αἱμορραγής|bleeding violently
αἱμορροέω|to have a
αἱμοσταγής|= αἱματοσταγής, Eur.
αἱμοφόρυκτος|defiled with blood
αἱμυλία|winning, wily ways
αἱμυλομήτης|of winning wiles
αἱμωπός|= αἱματωπός, Anth.
αἱμόδιψος|bloodthirsty
αἱμόρραντος|blood-sprinkled
αἱμόρροια|a discharge of blood
αἱμόρρυτος|blood-streaming
αἱμύλος|flattering, wheedling, wily
αἱμώδης|bloody, blood-red
αἱρέσιμος|that can be taken
αἱρέω|to take with the hand, grasp
αἱρετέος|to be taken, desirable
αἱρετίζω|to choose, select
αἱρετικός|able to choose
αἱρετός|that may be taken or conquered
αἴ|ha!
αἴαγμα|a wail
αἴας|Ajax
αἴγαγρος|the wild goat
αἴγειος|@
αἴγειρος|the poplar
αἴγεος|a goat's skin
αἴγιλος|a herb of which goats are fond
αἴγινα|Aegina
αἴγλη|the light of the sun, radiance
αἴγυπτος|the river Nile
αἴγυπτόνδε|to Egypt
αἴδεσις|respect
αἴητος|terrible, mighty
αἴθαλος|soot
αἴθε|would that
αἴθουσα|the corridor
αἴθρη|clear sky, fair weather
αἴθριος|clear, bright, fair
αἴθυια|a gull or diver
αἴθω|to light up, kindle
αἴθων|fiery, burning, blazing
αἴκισμα|an outrage, torture
αἴλινος|a plaintive dirge
αἴλουρος|a cat
αἴνεσις|praise
αἴνη|praise, fame
αἴνιγμα|a dark saying, riddle
αἴνυμαι|to take, take off, take hold of
αἴξ|a goat
αἴρω|to take up, raise, lift up
αἴσθημα|perception of
αἴσθησις|perception by the senses
αἴσιμος|fatal
αἴσιος|boding well, auspicious
αἴσυλος|unseemly, evil
αἴτημα|a request, demand
αἴτησις|a request, demand
αἴτιος|to blame, blameworthy, culpable
αἵμων|skilful in
αἵρεσις|a taking especially
αἶα1|epic form used for γαῖα metri grat., Hom., Trag.; never in pl.
αἶα|epic form used for γαῖα metri grat., Hom., Trag.; never in pl.
αἶθος|a burning heat, fire
αἶθοψ|fiery-looking
αἶθρος|the clear chill air
αἶνος|a tale, story
αἶπος|a height, a steep
αἶσα|the goddess of destiny
αἶσχος|shame, disgrace
αἶψα|quick, with speed, on a sudden
αἷμα|blood
αὐίαχος|loud-shouting, noisy
αὐαίνω|to dry
αὐαλέος|dry, parched
αὐγάζω|to view in the clearest light, see distinctly, discern
αὐγή|the light of the sun, sunlight
αὐδάζομαι|to cry out, speak
αὐδάω|to utter sounds, speak
αὐδή|the human voice, speech
αὐδήεις|speaking with human voice
αὐερύω|to draw back or backwards
αὐθάδεια|self-will, wilfulness, stubbornness, contumacy, presumption
αὐθάδης|self-willed, wilful, dogged, stubborn, contumacious, presumptuous
αὐθάδισμα|an act of self-will, wilfulness
αὐθέκαστος|one who calls each thing by its name
αὐθέντης|one who does
αὐθήμερος|made or done on the very day
αὐθαίμων|of the same blood, a brother, sister, kinsman
αὐθαίρετος|self-chosen, self-elected
αὐθαδίζομαι|to be self-willed
αὐθαδόστομος|self-willed in speech
αὐθεντέω|to have full power over
αὐθιγενής|born on the spot, born in the country, native
αὐλέω|to play on the flute
αὐλή|the court-yard
αὐλίδιον|Dim. of αὐλή, Theophr.
αὐλίζομαι|to lie in the court-yard
αὐλίσκος|a small reed, pipe
αὐλακεργάτης|tracing furrows
αὐλητής|a flute-player
αὐλητικός|of or for the flute
αὐλητρίς|a flute-girl
αὐλιάδες|protecting cattlefolds
αὐλιστρίς|a house-mate
αὐλοδόκη|a flute-case
αὐλοθετέω|to make flutes or pipes
αὐλοποιική|flute-making
αὐλοποιός|a flute-maker
αὐλός|a flute
αὐλών|a hollow way, defile, glen
αὐλῶπις|with a tube in front
αὐξάνω|to make large, increase, augment
αὐξησία|the Goddess of growth
αὐξοσέληνον|the waxing moon
αὐονή1|dryness, withering
αὐονή|dryness, withering
αὐσταλέος|sunburnt, squalid
αὐστηρός|making the tongue dry and rough, harsh, rough, bitter
αὐστηρότης|harshness, roughness
αὐτάγγελος|carrying one's own message, bringing news of what oneself has seen
αὐτάγρετος|self-chosen, left to one's choice
αὐτάδελφος|related as brother or sister
αὐτάρκεια|sufficiency in oneself, independence
αὐτάρκης|sufficient in oneself, having enough, independent
αὐτήκοος|one who has himself heard, an ear-witness
αὐτίκα|forthwith, straightway, at once
αὐτανέψιος|an own cousin, cousin-german
αὐτεξούσιος|in one's own power
αὐτεπάγγελτος|offering of oneself, of free will
αὐτεπώνυμος|of the same surname with
αὐτερέτης|one who rows himself
αὐτοάνθρωπος|the ideal man, the form of man
αὐτοέκαστος|the ideal or form of each object
αὐτοέντης|a murderer
αὐτοβοεί|by a mere shout, at the first shout
αὐτογέννητος|self-produced
αὐτογνωμονέω|to act of one's own judgment
αὐτογνώμων|on one's own judgment, at one's own discretion
αὐτοδάικτος|self-slain or mutually slain
αὐτοδάξ|with the very teeth
αὐτοδίδακτος|self-taught
αὐτοδαής|self-taught, unpremeditated
αὐτοετής|in or of the same year
αὐτοετεί|in the same year
αὐτοθαίς|Thais herself
αὐτοθελής|of one's own will
αὐτοθελεί|voluntarily
αὐτοκάβδαλος|wrought or done carelessly, slovenly, random
αὐτοκέλευθος|going one's own road
αὐτοκέλευστος|self-bidden
αὐτοκασίγνητος|an own brother
αὐτοκασιγνήτη|an own sister
αὐτοκατάκριτος|self-condemned
αὐτοκελής|= αὐτοκέλευστος, Hdt.
αὐτοκράτωρ|one's own master
αὐτοκρατής|ruling by oneself, absolute, autocratic
αὐτοκρατορικός|of or for an autocrat
αὐτοκτονέω|to slay one another
αὐτοκτόνος|self-slaying
αὐτοκυβερνήτης|one who steers himself
αὐτολήκυθος|one who carries his own oil-flask, a shabby fellow
αὐτομέδων|self-ruler
αὐτομέλιννα|Melinna herself
αὐτομαθής|having learnt of oneself, self- taught
αὐτοματίζω|to act of oneself, act unadvisedly
αὐτομολέω|to desert
αὐτομολία|desertion
αὐτονομέομαι|to live by one's own laws, be independent
αὐτονομία|freedom to use one's own laws, independence
αὐτονυχί|that very night
αὐτοπάθεια|one's own feeling or experience
αὐτοπήμων|for one's own woes
αὐτοπαγής|self-joined, self-built
αὐτοπαθής|speaking from one's own feeling or experience
αὐτοπολίτης|citizen of a free state
αὐτοπρόσωπος|in one's own person, without a mask
αὐτοπωλικός|of an
αὐτοπόνητος|self-wrought
αὐτοπώλης|selling one's own goods or products
αὐτοσίδηρος|of sheer iron, with stroke of sword
αὐτοσταδίη|a stand-up fight, close fight
αὐτοσφαγής|slain by oneself or by kinsmen
αὐτοσχέδιος|hand to hand
αὐτοσχεδίασμα|an impromptu
αὐτοσχεδιάζω|to act or speak off-hand
αὐτοσχεδιαστής|one who acts or speaks offhand
αὐτοσχεδόν|near at hand, hand to hand
αὐτοτέλεστος|self-accomplished, spontaneous
αὐτοτελής|ending in itself, complete in itself, supporting oneself
αὐτοτραγικός|arrant tragic
αὐτοτροπήσας|to turn straightway
αὐτουργέω|to work with one's own hand
αὐτουργία|a working on oneself
αὐτουργός|self-working
αὐτοφυής|self-grown
αὐτοφόνος|self-murdering, murdering those of one's own family
αὐτοφόντης|a murderer
αὐτοχειρία|murder perpetrated by one's own hand
αὐτοχόλωτος|angry at oneself
αὐτοχόωνος|rudely cast, massive
αὐτοψία|a seeing with one's own eyes
αὐτούργητος|self-wrought, rudely wrought
αὐτοῦ|at the very place, just here, just there
αὐτόβουλος|self-willing, self-purposing
αὐτόγνωτος|self-determined, self-willed
αὐτόγυος|having the share-beam of one piece with the pole
αὐτόδεκα|just ten
αὐτόδηλος|self-evident
αὐτόδικος|with independent jurisdiction, with one's own law-courts
αὐτόδιον|straightway
αὐτόθεν|from the very spot
αὐτόθι|on the spot
αὐτόκλαδος|branches and all
αὐτόκλητος|self-called
αὐτόκομος|with natural hair, shaggy
αὐτόκτιτος|self-produced
αὐτόκωπος|together with the hilt, up to the hilt
αὐτόμαρτυς|oneself the witness, an eyewitness
αὐτόματος|acting of one's own will, of oneself
αὐτόμολος|going of oneself, without bidding
αὐτόνομος|living under one's own laws, independent
αὐτόνοος|self-willed
αὐτόξυλος|of mere wood
αὐτόπαις|an own child
αὐτόποιος|self-produced
αὐτόπολις|free as a state, independent
αὐτόπους|on one's own feet
αὐτόπρεμνος|together with the root, root and branch
αὐτόπτης|seeing oneself, an eyewitness
αὐτόρριζος|roots and all
αὐτόρρυτος|self-flowing, flowing unbidden
αὐτός|self
αὐτόσε|thither, to the very place
αὐτόσσυτος|self-sped
αὐτόστολος|self-sent, going or acting of oneself
αὐτόστονος|lamenting by or for oneself
αὐτότοκος|young and all
αὐτόφι|the very spot
αὐτόφλοιος|with the bark on
αὐτόφορτος|bearing one's own baggage
αὐτόφυτος|self-caused
αὐτόφωνος|self-sounding
αὐτόφωρος|self-detected, caught in the act of theft
αὐτόχειρ|with one's own hand
αὐτόχθονος|country and all
αὐτόχθων|sprung from the land itself
αὐτόχρημα|in very deed, really and truly
αὐτῆμαρ|on the self-same day
αὐχένιος|of the neck
αὐχέω|to boast, plume oneself
αὐχήεις|braggart, proud
αὐχήν|the neck, throat
αὐχενίζω|to cut the throat of
αὐχμέω|to be squalid or unwashed
αὐχμηρός|dry, dusty, rough, squalid
αὐχμός|drought
