Αἰάντειος,of Ajax
Πρῐάπειος,of Priapus
Πρῐαπίζω,to be lewd
Πρῐαπίσκος,dilator or suppository
Πρῐαπισκωτός,shaped like the membrum virile
Πρῐαπισμός,priapism
Πρῐαπισταί,worshippers of Priapus
Πρῐαπώδης,like Priapus, lewd
Πτολεμᾱΐς,a citizen thereof
Πτολεμᾱϊκός,of Ptolemy or the Ptolemies
Πτώϊος,the festival of Apollo
Πυγμαιομάχος,fighting with pygmies
Πυρρώνειος,of Pyrrho
Πυρρῐκός,named after Pyrrhus
Πύθια2,the Pythian games
Πύθιον,temple of the Pythian Apollo
Πύθων,of divination
Πύθων1,of divination
Πύθῐος,his temple
Πύλονδε,to or towards Pylos
Πᾰλάτιον,Palatium, the Palatine Hill
Πᾰλαίμων,temple of Palaemon
Πᾰλᾰμήδης,the Inventor
Πᾰνέλληνες,all the Hellenes
Πᾰνίωνες,the whole body of Ionians
Πᾰναιτωλικά,meeting and festival of the Aetolian League
Πᾰνελλήνια,the festival of the United Greeks
Πᾰνελλήνιος,of the
Πᾰνελληνιάς,celebration of the
Πᾰνᾰθηναΐς,period between celebrations of the Great Panathenaea
Πᾰνᾰθηναϊκός,of, for
Πᾰνᾰθηναϊσταί,celebrators of
Πᾰνᾰχαιοί,all the Achaeans
Πᾰριουργής,wroughtin Paros
Πᾰτελλοχάρων,Dish-friend, 'pique-assiette'
Πᾱνεύω,treat after the manner of Pan
Πᾱνιασταί,worshippers of Pan
Πᾱνόληπτος,possessed by Pan, Mim.Oxy.
Πᾱνῐκός,of or for Pan
Πῐθηκοῦσσαι,Ape-islands
Πῑερία,from Pieria
Πῑσα,the people of Pisa
Πῠλαία,meeting of the Amphictyons at Pylae
Πῠλεύς,Janus Geminus
Πῠλοιγενής,born in Pylos
Πῠλόθεν,from Pylos
Πῠλᾱγορέω,to be a
Πῠλᾱγόρας,delegate sent to the Amphictyonic Council at Pylae
Πῡθία,Pythia, priestess of Pythian Apollo
Πῡθία1,Pythia, priestess of Pythian Apollo
Πῡθαΐς,sacred mission
Πῡθαϊστής,lamb.
Πῡθαύλης,one who plays the
Πῡθιάς,to Apollo
Πῡθικός,of or for Pytho, Pythian
Πῡθιονίκης,conqueror in the Pythian games
Πῡθιόνῑκος,of or belonging to a Pythian victory
Πῡθιᾰκός,of the Pythian games
Πῡθοκτόνος,slaying the serpent Python
Πῡθολέτης,dragon-slayer
Πῡθοχρήστης,sent by the Pythian oracle
Πῡθοῖ,at Pytho
Πῡθόθεν,from Pytho
Πῡθόκραντος,confirmed by the Pythian god
Πῡθόληπτος,seized with Pythian frenzy
Πῡθόμαντις,the Pythian prophet
Πῡθόχρηστος,delivered by the Pythian god
Πῡθώ,rotting
Πῡθώδε,to Pytho
Πῡθᾰγορίζω,to be a disciple of Pythagoras
Πῡθᾰγορικός,in the Pythagorean manner
Πῡθᾰγορισμός,Pythagorean doctrines
Πῡθᾰγοριστής,follower of Pythagoras
Πῡθᾰγόρειος,of P.
Πῡθᾱΐζω,consult his oracle
Πῡθᾱεύς,his festival
Πῡθῶθεν,from Pytho
Πῡρωνία,presiding over the purchase of wheat
Ρ̓άριον,of Rarus
Σ,shin
Σάββᾰτον,period of seven days, week
Σάβος,persons dedicated to the service of Sabazius, Bacchanals
Σάμαινα,a ship of Samian build
Σάμος,a height.
Σάρᾱπις,Osiris-Apis
Σάτῠρος,lewd, goatish fellow
Σήρ,silkworm
Σίβυλλα,one
Σίμων,a confederate in evil
Σίντιες,a
Σίσῠφος,temple of S.
Σαββᾰτίζω,keep Sabbath
Σαββᾰτεῖον,a house in which the Sabbath service was held
Σαββᾰτικός,for a Jew
Σαββᾰτισμός,a keeping of days of rest, Ep. Hebr.
Σαββᾰτιστής,sabbath-keepers
Σαβῖνον,from over-ripe olives
Σαμοθρᾳκιασταί,celebrators of Samothracian mysteries
Σαμοθρᾴκιον,temple of the gods of Samothrace
Σαπφώ,BMus.Cat. Coins (Troas
Σαρδώ,Mete..
Σαρπηδών,his shrine
Σαυνῖται,Sa[bstrok]niom
Σεβάσμιος,reverend, venerable, august
Σεβάστιος,by the genius of the Emperor
Σεβασμός,of majesty
Σεβαστεῖον,temple of
Σεβαστιάς,Augusta
Σεβαστικός,reverent
Σεβαστοδώρητος,authorized by Imperial grant
Σεβαστοκρᾰτέω,rule as Augustus
Σεβαστονείκης,victorious in Imperial games
Σεβαστοφάντης,priest of Augustus
Σεβαστοφαντέω,to be flamen Augusti
Σεβαστοφαντικός,pertaining to the flamen Augusti
Σεβαστοφορικός,pertaining to the
Σεβαστοφόροι,priests in the cult of the Roman Emperor
Σεβαστόγνωστος,known to the Emperor, amicus Caesaris
Σειρήν,Siren, deceitful woman
Σειρήνειος,Siren-like
Σελευκίζω,side with S.
Σελευκίς,woman's shoe from Seleucia
Σελεύκειος,of Seleucus
Σελλοί,seat
Σελῑνοῦς,of Selinus
Σευήρεια,games in honour of Severus
Σευίδαι,attendants on Dionysus
Σηστιώδης,in the style of Sestius
Σιβυλλαίνω,foretell like a Sibyl
Σιβυλλιάω,want the Sibyl
Σιβυλλιστής,believer in the Sibyl
Σιληνώδης,like Silenus
Σιμιᾰκόν,metre named after Sim
Σινδογενής,Indus-produced
Σκίρα,festival of Athena celebrated by Athenian women on the
Σκίρων,which blew from the Scironian rocks
Σκιρίδαι,worshippers or priests of Artemis
Σκυβελίτης,from
Σκυθάριον,Scythian wood
Σκυθίζω,behave like a Scythian
Σκυθικός,with a ruddy complexion
Σκυθισμός,shaving of the head
Σκυθιστί,in Scythian fashion
Σκυλλίτας,of the
Σκύθης,rude, rough person
Σκῐάποδες,Shade-footed or Shady-feet
Σκῑρῖται,the Scirites
Σκῑρῖτις,the district of Laconia near the Arcadian town
Σκῠθοτοξότης,Scythian bowman
Σκῦρος,of or from Scyros
Σμινθεύς,the Sminthian
Σμύρνα,of Smyrna
Σολομωνιακὸς,Solomon's
Σουνῐάρᾱτος,worshipped at Sunium
Σουσῐγενής,born at Susa
Σούνιον,a man of Sunium
Σπάρτη,from Sparta
Σπαρτάκειος,of Spartacus
Σπᾱνός,grey
Στάγῑρος,a Stagirite
Στέντωρ,Stentorian, with a voice like Stentor's
Στήνια,a festival in which the
Σταβλησιᾱνοί,equites Stablesiam
Στησίλειος,founded or dedicated by
Στρουθοφάγοι,Ostrich-eaters
Στρᾰτονίκεια,festival in honour of Stratonice
Στρᾰτωνίδης,Son of a Gun
Στρῡμονίας,a wind blowing from the Strymon
Στρῡμών,the Strymon
Στύγιος,Stygian, of the nether world
Στύξ,the Styx
Στώαξ,one of the Porch
Συβᾰρῑτικός,of Sybaris
Συλλεῖα,sacrifice in honour of Sulla
Συμπᾰνέλληνες,all the Hellenes together
Συνᾰνουβιασταί,fellow-worshippers of Anubis
Σφήκεια,Wasp-land
Σφίγξ,rapacious
Σφηττός,in or at Sphettos
Σωκρά̆της,dear little Socrates!
Σωκρᾰτέω,do like Socrates, 'Socratize
Σωκρᾰτεῖον,monument to Socrates
Σωκρᾰτικός,Socratic, of Socrates
Σωκρᾰτιστής,imitator of Socrates
Σωκρᾰτόγομφος,patched up by Socrates
Σωπάτρειος,of Sopatros
Σύβοτα,swine-pastures
Σύβᾰρις,luxury, voluptuousness
Σύντριψ,the Smasher
Σύριος,of or from Syria
Σύρος2,Syrian
Σύρτις,the Syrtis
Σᾰβαζιασταί,worshippers of Sabazius
Σᾰβασμός,feast of Sabazius
Σᾰλᾰμί̄νιος,Salaminian, of or from Salamis
Σᾰλᾰμῑνᾰφέτης,betrayer of Salamis
Σᾰμάρεια,Samaritan
Σᾰτάν,adversary, opponent
Σᾰτῠρικός,suiting a Satyr, like a Satyr
Σᾰτῠριστής,player of Satyric dramas
Σᾰτῠρογράφος,writing Satyric dramas
Σᾰτῠρόφηρ,wild creature like a Satyr
Σᾰτῠρώδης,Satyr-like
Σῐκελίζω,do like the Sicilians
Σῐκελιώτης,a Sicilian Greek
Σῐκελός,Sicilian, of or from Sicily
Σῐκύωνος,name of a stone used in ritual
Σῐκῠωνιουργής,manufactured at Sicyon
Σῐκῠώνια,women's shoes
Σῐλεντιάριος,who looked to the quiet
Σῐμωνίδης,of or like Simonides
Σῐνωπίζω,behave like the courtesan Sinope
Σῐνώπη,an inhabitant thereof
Σῑδονίηθεν,from Sidon
Σῑδονῠφής,from the Sidonian loom
Σῑδών,men of Sidon
Σῑθωνία,Sithonia, land of the Sithones
Σῑκᾰνία,a Sicanian
Σῑληνικός,of or like Silenus
Σῑληνός,a figure of Silenus
Σῖμος,Flat-nose
Σῠβαρίζω,live like a Sybarite or voluptuary
Σῠράκουσαι,a Syracusan, BMus.Cat.Coins Sicily
Σῠρίζω,speak like a Syrian
Σῠραιγύπτιος,Syro-Egyptian
Σῠρακοσία,the territory of S.
Σῠραττικός,Syro-Attic
Σῠριάρχης,president of the provincial council of Syria, Cod. Theod.
Σῠριαρχία,office of
Σῠριηγενής,Syrian-born
Σῠρικός,from Syria, Syrian
Σῠριστί,in the Syrian language
Σῠροφοῖνιξ,Syro-Phoenician
Σῦρος,a Syrian
Σῦρος1,a Syrian
Τάναγρα,of Tanagra
Τάντᾰλος,of or belonging to T.
Τάρας,a Tarentine
Τάρτᾰρος,the nether world
Τέμπεα,any sequestered vale
Τήϊος,of or from Teos
Τίτῠρος,short-tailed ape
Ταίνᾰρος,celebrants of this festival
Ταινᾰρῐεύς,native of Taenarus
Ταργυηνός,Erster Bericht
Ταρσικός,of Tarsus
Ταρσογενής,born at Tarsus
Ταρτά̆ρωσις,casting into Tartarus
Ταρτάρειος,Tartarean, horrible
Ταρταρίζω,quake with cold, shiver
Ταρταρίτης,dweller in Tartarus
Ταρτᾰροῦχος,controlling Tartarus
Ταρτᾰρόπαις,child of Tartarus
Ταρτᾰρόφρουρος,guarding Tartarus
Ταρτᾰρόω,cast into Tartarus or hell
Ταυροπόλια,festival of Artemis Tauropolos
Τεγέα,of or from Tegea
Τελενῑκίζω,make empty
Τελχίς,one of the Telchines
Τεμενῖτις,on which was the Temenos
Τεμπείτης,dweller in the vale of Tempe
Τεμπικός,in or of Tempe
Τεμπόθεν,from Tempe
Τεμπώδης,like a vale
Τερμέρειον,a misfortune one brings on oneself
Τερψί̆χορος,enjoying the dance
Τηλέφειον,health
Τηϊουργής,of Teian workmanship
Τιμωλίτης,of Tmolus
Τμῶλος,Mount Tmolus
Τομοῦροι,priests of Zeus
Τράγιος,b
Τράλλεις,Tralles
Τρίτων,Triton
Τριπτόλεμος,Triptolemus
Τριτοπάτωρ,great-grandfather
Τριτοπατρῆς,divinities worshipped by
Τριτοπᾰτέρες,ancestors
Τροία,Troy
Τροφώνιος,his festival
Τρωΐτης,native of Troia
Τρωΐᾱθεν,from Troy
Τρωγοδύται,belonging to the
Τρωγοδύτις,Cave-dwellers
Τρωξάρτης,Bread-gnawer
Τρωοφθόρος,destructive to the Trojans
Τρωϊάς,Trojan
Τρωϊκός,Trojan
Τρώς,Tros
Τρώϊος,of Tros
Τρᾰγᾰσαῖος,of or from the Epirotic city
Τρᾱχίς,the people of T.
Τρῐβαλλοί,the Triballi
Τρῐκάρᾱνος,the Three-headed
Τρῑτογένεια,Trito-born
Τρῑτωνίς,Tritonis
Τρῑτωνίσκος,small figure of a Triton
Τρῑτωνιὰς,Tritonis
Τρῑτώνιος,Tritonian
Τρῳᾰδεύς,dweller in the Troad
Τυμωλίς,inhabitants of T.
Τυμωλίς1,inhabitants of T.
Τυνδάρεος,Tyndareos
Τυρίμνεια,Zweiter Bericht
Τυρρηνίζω,imitate the Tyrrhenians
Τυρρηνικουργής,of Tyrrhenian or Etruscan work
Τυρρηνικός,Tyrrhenian, Etruscan
Τυρρηνολέτης,destroyer of Tyrrhenians
Τυρρηνός,Tyrrhenian
Τυρσηνός,Tyrrhenian, Etruscan
Τύριμνος,Zweiter Bericht
Τύριος,Tyrian
Τᾰλᾰϊονίδης,son of Talaus
Τᾰραντί̄ναρχος,squadronleader of light cavalry
Τᾰραντί̄νινος,made of Tarentine cloth
Τᾰραντῑνίζω,ride like a Tarentine horseman
Τᾰραντῑναρχέω,command a body of
Τᾰραντῑναρχία,a body of
Τᾰραντῖνοι,cavalry armed with javelins
Τᾰραντῖνον,garment made of a diaphanous material woven from the byssus of the pinna
Τᾱΰγετον,Mount Taygetus
Τῐτῠοκτόνος,slaying Tityus
Τῑμαιογρᾰφέω,write a Timaeus
Τῑμολεόντειον,a gymnasium named after Timoleon
Τῑμώνιον,a Timon's
Τῑμᾱχεῖον,monument of
Τῑσῐφόνη,Tisiphone, the Avenger of blood
Τῑτάν,the Titans
Τῑτάνια,festival of the Titans
Τῑτανικός,of or for the Titans
Τῑτᾱνογρᾰφία,a history of the Titans
Τῑτᾱνοκράτωρ,conqueror of the Titans
Τῑτᾱνοκτόνος,slaying Titans
Τῑτᾱνολέτης,destroyer of Titans
Τῑτᾱνομᾰχία,battle of Titans
Τῖφυς,nightmare
Τῠφωεύς,Typhoëus or Typhos
Τῡφωνικός,Typhonian, of or from Typhon
Τῡφώνιος,of Typhon
Τῡφώς,whirlwind, typhoon
Τῡφῶν,Typhon
Υυ,he
Φάρος,Pharos
Φειδιᾰκός,made by Phidias
Φιλίππῳ,to be crowned together
Φᾱσιᾱνός,from the river Phasis
Φᾶσις,the river Phasis
Χέλωνος,with a beautiful tortoise on it
Χέω,diffuse completely
Χέω1,diffuse completely
Χέω2,decant
Χίος,Chios
Χίος1,Chios
Χείμερος,unfitted to endure winter
Χείρων,Cheiron
Χειμάζω,winter in
Χειρ,strong-handed
Χειρωνίς,on surgery
Χειρώνειος,of or from Cheiron
Χημία,Black-land. Chemmi
Χλοος,with poor foliage
Χοασπῖτις,found in the Choaspes
Χορος2,with fair dancing-grounds
Χράομαι,abuse
Χράομαι1,abuse
Χράομαι2,exploit together
Χρήσμων,difficult to live with
Χρησις,peculation
Χρηστος,ill-used
Χροέω,to be of a bad complexion
Χροια,bad complexion
Χροος,of bad complexion
Χροος1,of bad complexion
Χροος2,beautiful-coloured
Χωρέω,to be fond of dwelling in, haunt
Χωρέω1,to be fond of dwelling in, haunt
Χωρέω2,go away together
Χωρισμός,renewed execution
Χώρως,dwelling upon
Χᾰλαστραῖος,of, from Chalastra
Χᾰλυβδικός,Chalybian
Χᾰρωνῖται,Orcini, Senators from the nether world
Χᾰρώνιος,of or belonging to Charon
Χῑογενής,of Chian growth
Χῑουργής,of Chian work
Χῖαι,men's shoes
Χῖος2,of or from Chios
Χῡλος,with bad juice or flavour
Χῡμία,unhealthy state of the humours
Χῡμος,with unhealthy juices
Ψ,kh
Ω,the end, the last
άομαι,ruminate
έΨω,boil in as well
έω,of henbane
α2,to be moistened
αἰ,if
αἰ1,if
αἰάζω,cry
αἰένυπνος,giving eternal sleep
αἰακτός,lamentable
αἰβοῖ,faugh!
αἰγήκης,made of goatskin
αἰγίβοσις,goat-pasture
αἰγίβοτος,feeding goats
αἰγίδιον,kid
αἰγίζω,rend asunder
αἰγίθαλλος,t tmouse
αἰγίκνημος,goat-shanked.
αἰγίλιψ,destitute even of goats
αἰγίλωψ,haver-grass, Aegilops ovata
αἰγίοχος,veho
αἰγίπῠρος,rest-harrow, Ononis antiquorum
αἰγίς,goatskin
αἰγείρινος,of the poplar
αἰγειροφόρος,poplar-bearing
αἰγειρών,poplar-grove
αἰγελάτης,goatherd
αἰγιάζω,to talk of goats
αἰγιάλειος,frequenting the shore
αἰγιαλικός,for coastwise traffic
αἰγιαλοφύλαξ,warden of the shore
αἰγιαλώδης,frequenting the shore
αἰγιαλώτης,dweller on the shore
αἰγιβάτης,goat-mounting
αἰγικορεῖς,goatherds
αἰγιλωπικός,for the treatment of
αἰγιᾰλός,sea-shore, beach
αἰγλάζω,to beam brightly
αἰγλήεις,dazzling, radiant
αἰγλήτης,the radiant one
αἰγλοφᾰνής,radiant
αἰγοβοσκός,goatherd
αἰγοβόλος,goat-slayer
αἰγοδίωξ,pursuing goats
αἰγοθήλας,goatsucker, nightjar
αἰγοθηρικός,belonging to ibex-hunting
αἰγοκέρως,goat-horned
αἰγοκέφᾰλος,horned owl, Strix otus
αἰγοκεριανός,born under Capricorn
αἰγομελής,goat-limbed
αἰγονομεύς,goat-herd
αἰγονόμιον,herd of goats
αἰγοπρόσωπος,goat-faced
αἰγοτρῐχέω,have goat's hair
αἰγοφάγος,goat-eating
αἰγωλιός,owl
αἰγωπός,goat-eyed
αἰγόλεθρος,goat's-bane, Rhododendron ponticum
